START,FrameNb:5000,,,
2020/08/09 14:15:32:825,,,,
1.60E+12,,,,
0,12.8,-11.2,-10,17
1,14.4,1,14.25,20
2,25.6,-10.2,28.25,14
3,35.8,-11.4,-3.75,19
4,57,9,-16.75,12
5,57,9,-11.25,9
6,63,4,-4,15
7,65.8,-11.2,3.5,13
8,68.4,-11.4,-0.25,6
9,69,1.6,4.25,15
10,69,4,-2,12
11,71.6,0.4,-4,16
12,75.2,-11.2,0.75,16
13,83.6,6.8,-5.75,14
14,83.8,-11.4,-2,8
15,90.6,-11.2,12.25,10
16,100,-11.4,6,14
17,102.6,-11.4,5.75,10
18,109.2,0.8,3,11
19,111.8,0.8,0.25,17
20,115.4,-11.4,1.75,12
21,123,-11.4,0.75,7
22,139.2,-11.4,0.75,8
23,140.8,-2,4.25,11
24,146.8,1.2,5.25,14
25,172.6,-11.4,5.25,10
26,1024,-11.4,8.25,8
27,12.2,-11.2,-8.75,15
28,13.2,-11.2,-6.5,13
29,14.6,1,15.75,14
30,15.6,1,17.75,14
31,16.4,1,18.5,13
32,17.2,1,17.25,13
33,22.2,-9.8,33.25,14
34,23.2,-10,31.5,14
35,24.6,-10.4,29,15
36,38.8,-11.4,-2.25,13
37,39,0.2,3.25,14
38,42.8,-11.2,0,11
39,57.8,9,-14,15
40,62.8,4,-4.25,14
41,62.6,-11.2,10,10
42,67.6,4,-2,13
43,69,1.6,1.5,15
44,68.8,4,-3.25,11
45,71.4,0.4,-5.75,14
46,70.6,1.6,0,0
47,73,0.4,-5.25,14
48,102.4,-11.4,6.5,11
END,Total:49,,,
START,FrameNb:5001,,,
2020/08/09 14:15:32:882,,,,
1.60E+12,,,,
0,12.8,-11.2,-8.75,17
1,12.8,-11.2,-1.5,15
2,14.4,1,14.25,21
3,14.4,1,20.5,18
4,16.2,-11.2,-6.5,10
5,16.2,-11.2,-1,8
6,24,-10.2,29.75,17
7,34.2,-11.2,-4,18
8,34.2,-11.2,1,16
9,38.4,-11.4,-4.5,6
10,38.4,-11.4,3,5
11,39.2,0.2,2,19
12,39.2,0.2,6.25,16
13,63,4,-4,15
14,65.8,-11.4,3.5,13
15,69,1.6,4.25,15
16,69,4,-2,12
17,71.6,0.6,-4,16
18,75.2,-11.2,0.75,16
