ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10.4,0,6.5,37,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,220,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
1,125.6,0.4,1.75,18,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,177,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
2,126.8,0.4,1,5,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,132,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
3,194.4,50.8,3.25,12,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,153,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
4,163.2,2.2,-2,15,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,171,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
5,18.8,3,-7,24,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,185,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
6,23.4,3,-4.25,17,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,166,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
